,id,href,name_rus,name_eng,rating,rating_count,critics_rating,imdb_rating,imdb_rating_count,year,duration,genres,countries
4909,6862,/film/voiny-1979-6862/,Воины,The Warriors,7.585,3314.0,89,7.7,80088,1979,92,"боевик,криминал,триллер",США
4910,685518,/film/khochu-ne-mogu-2013-685518/,Хочу. Не могу,Premature,5.367999999999999,2320.0,50,5.8,7812,2013,94,"фэнтези,комедия",США
4914,3993,/film/3993/,Еще одна пятница,Friday After Next,6.122999999999999,1540.0,26,5.8,21379,2002,85,"драма,комедия",США
4915,3554,/film/zona-prestupnosti-1997-3554/,Зона преступности,City of Industry,6.291,537.0,43,6.2,5124,1997,97,"драма,криминал,триллер",США
4916,10951,/film/10951/,Суд – это я,"I, the Jury",5.987,161.0,40,5.9,1199,1981,111,"триллер,драма,мелодрама,детектив,криминал",США
4918,12261,/film/12261/,Холостяк,The Bachelor,6.653,2834.0,9,5.0,15489,1999,101,комедия,США
4919,3602,/film/dzhozi-i-koshechki-2001-3602/,Джози и кошечки,Josie and the Pussycats,5.154,1384.0,52,5.3,19691,2001,98,"музыка,комедия","Канада,США"
4920,606688,/film/ne-ugasnet-nadezhda-2013-606688/,Не угаснет надежда,All Is Lost,6.676,10207.0,94,6.9,64854,2013,101,"приключения,драма",США
4922,842442,/film/devyataya-zhizn-lui-draksa-2015-842442/,Девятая жизнь Луи Дракса,The 9th Life of Louis Drax,6.64,14007.0,38,6.3,10359,2015,108,"детектив,триллер","Канада,Великобритания,США"
4924,764139,/film/764139/,Азбука смерти 2,ABCs of Death 2,5.111000000000001,1580.0,75,5.4,6926,2014,125,"ужасы,комедия","Япония,Новая Зеландия,США,Канада,Израиль"
4925,814016,/film/lyudi-iks-apokalipsis-2016-814016/,Люди Икс: Апокалипсис,X-Men: Apocalypse,7.01,110237.0,48,7.0,325262,2016,143,"боевик,приключения,фантастика",США
4926,18495,/film/18495/,История Адели Г.,L'histoire d'Adèle H.,7.296,1105.0,94,7.4,6373,1975,96,"драма,биография,история",Франция
4928,565,/film/565/,Игра навылет,Sleuth,7.961,6794.0,96,8.1,40451,1972,138,"детектив,триллер","Великобритания,США"
4931,6749,/film/6749/,Битва Титанов,Clash of the Titans,6.792000000000001,1697.0,68,6.9,35833,1981,118,"боевик,приключения,семейный,фэнтези","Великобритания,США"
4932,3513,/film/3513/,Последний киногерой,Last Action Hero,7.412999999999999,36481.0,36,6.3,117843,1993,130,"боевик,приключения,фэнтези,комедия",США
4934,300270,/film/vozvrashchenie-v-dom-nochnykh-prizrakov-2007-300270/,Возвращение в дом ночных призраков ,Return to House on Haunted Hill,4.798,1201.0,33,4.6,8238,2007,79,ужасы,США
4935,33821,/film/33821/,Кролик Багз или Дорожный Бегун,The Bugs Bunny/Road-Runner Movie,7.4079999999999995,1051.0,100,7.3,3036,1979,98,"музыка,семейный,фантастика,мультфильм,комедия",США
4937,462762,/film/zheleznyy-chelovek-3-2013-462762/,Железный человек 3,Iron Man Three,7.489,176711.0,80,7.2,628342,2013,131,"боевик,приключения,фантастика","США,Китай"
4938,21009,/film/21009/,Роли с текстом,Speaking Parts,6.81,146.0,100,6.8,1160,1989,93,"драма,мелодрама",Канада
4943,3587,/film/3587/,Отчаянные меры,Desperate Measures,6.777,892.0,17,6.1,14711,1998,100,"боевик,драма,криминал,триллер",США
4947,12248,/film/chego-my-stoim-v-zhizni-1994-12248/,Чего мы стоим в жизни,The Sum of Us,7.1160000000000005,528.0,67,7.4,4612,1994,100,"драма,комедия",Австралия
4953,1934,/film/s-menya-khvatit-2002-1934/,С меня хватит,Enough,7.097,23489.0,22,5.7,33131,2002,115,"драма,криминал,триллер",США
4957,5286,/film/eddi-merfi-bez-kupyur-1987-5286/,Эдди Мерфи без купюр,Eddie Murphy: Raw,8.162,20189.0,81,7.6,16264,1987,93,"комедия,документальный",США
4962,648468,/film/chennayskiy-ekspress-2013-648468/,Ченнайский экспресс,Chennai Express,7.612,1596.0,54,6.0,41960,2013,141,"боевик,драма,комедия",Индия
4964,105951,/film/105951/,Как есть жареных червяков,How to Eat Fried Worms,6.273,233.0,59,5.4,4560,2006,80,"семейный,комедия",США
4967,694051,/film/694051/,Миньоны,Minions,6.19,68715.0,56,6.4,182199,2015,91,"семейный,боевик,приключения,мультфильм,комедия",США
4974,4478,/film/bratya-makmallen-1995-4478/,Братья МакМаллен,The Brothers McMullen,6.472,203.0,91,6.6,6735,1995,98,"драма,мелодрама,комедия",США
4976,481706,/film/paranormalnoe-yavlenie-2-2010-481706/,Паранормальное явление 2,Paranormal Activity 2,5.949,37917.0,59,5.7,89735,2010,91,ужасы,США
4978,14998,/film/tam-gde-konchaetsya-trotuar-1950-14998/,"Там, где кончается тротуар",Where the Sidewalk Ends,7.3260000000000005,470.0,100,7.6,6310,1950,95,"фильм-нуар,драма,криминал",США
4981,407867,/film/407867/,Сита поет блюз,Sita Sings the Blues,7.636,434.0,100,7.7,3250,2008,82,"мелодрама,мюзикл,фэнтези,мультфильм,комедия",США
4983,17914,/film/kleopatra-1963-17914/,Клеопатра,Cleopatra,7.8629999999999995,5932.0,56,7.0,24710,1963,243,"драма,биография,мелодрама,история","Швейцария,Великобритания,США"
4985,623778,/film/mikhael-kolkhaas-2013-623778/,Михаэль Кольхаас,Michael Kohlhaas,6.16,1475.0,48,6.1,6661,2013,122,"драма,история","Германия,Франция"
4988,77866,/film/potseluy-menya-ket-1953-77866/,Поцелуй меня Кэт,Kiss Me Kate,6.906000000000001,88.0,80,7.2,4765,1953,109,"мелодрама,мюзикл,комедия",США
4990,6666,/film/svirepye-sozdaniya-1996-6666/,Свирепые создания,Fierce Creatures,6.95,812.0,53,6.4,20991,1996,93,комедия,"Великобритания,США"
